category,city,Day,Delivery slot:,email_id,from,mapped_brands,Month,order_id,ordered_on,payment_mode,Placed on:,platform,postal_code,promotion_applied:,seller,user_code,Actual amount paid,Amazon Pay balance:,amount,Amount Paid,amount_order,Bank discount,Cart discount,Contribution,coupon_discount,Credit availed from bigbasket Wallet:,Debit applied from bigbasket Wallet:,Gift Wrap:,Loyalty Points Used,Myntra Credit*,Number of Records,offer_discount,Order Savings,payment_pending,quantity,saving,Service Fee,Shipping_and_Handling_charges,sno,sub _total,tax,time,Total saved,Total Savings:,Wallet used,You Paid
Apparel & Accessories,Virudhunagar,Thursday,,51058,updates@myntra.com,highlander,4,1107433-6336883-0587503,18-04-2019 02:43:04 am,COD,,Myntra,626101,,Blumentor,cs1wf6bo,555,0,999,0,619,0,0,,90,0,0,0,0,0,1,380,,0,1,0,0,0,,0,26,2,470,0,0,0
Apparel & Accessories,,Sunday,,25577,updates@myntra.com,taavi,4,1107695-1733862-7707003,21-04-2019 03:22:04 am,COD,,Myntra,751013,,Proleague,ct8ihn9v,897,0,1499,0,899,0,0,,45,0,0,0,0,0,1,600,,0,1,0,0,0,,0,43,3,645,0,0,0
Apparel & Accessories,Virudhunagar,Thursday,,51278,updates@myntra.com,moda rapido,4,1108088-2690765-6247603,25-04-2019 04:33:39 pm,COD,,Myntra,626101,,Mayazen,cs1wf6bo,524.24,0,649,0,519,0,20.76,,0,0,0,0,0,0,1,130,,0,1,0,0,0,,0,26,16,150.76,0,0,0
Apparel & Accessories,Raipur,Saturday,,79360,updates@myntra.com,united colors of benetton,4,1108220-8365338-4697501,27-04-2019 05:23:39 am,Online,,Myntra,492001,,Proleague,crielj05,2522,0,4500,0,2250,0,0,,113,0,0,0,0,0,1,2250,,0,1,0,0,0,,0,385,5,2363,0,0,0
Apparel & Accessories,Lucknow,Thursday,,22981,updates@myntra.com,spykar,5,1108639-2783965-5897303,02-05-2019 01:37:28 am,Online,,Myntra,226022,,Proleague,cs8tztb7,5621,0,2399,0,5475,0,0,,347,0,0,0,0,0,1,1320,,0,1,0,0,0,,0,493,1,1667,0,0,0
Apparel & Accessories,Lucknow,Thursday,,22981,updates@myntra.com,us polo assn,5,1108639-2783965-5897303,02-05-2019 01:37:28 am,Online,,Myntra,226022,,Proleague,cs8tztb7,5621,0,1999,0,5475,0,0,,347,0,0,0,0,0,1,800,,0,1,0,0,0,,0,493,1,1147,0,0,0
Apparel & Accessories,Lucknow,Thursday,,22981,updates@myntra.com,us polo assn,5,1108639-2783965-5897303,02-05-2019 01:37:28 am,Online,,Myntra,226022,,Proleague,cs8tztb7,5621,0,1399,0,5475,0,0,,347,0,0,0,0,0,1,420,,0,1,0,0,0,,0,493,1,767,0,0,0
Apparel & Accessories,Lucknow,Thursday,,22981,updates@myntra.com,united colors of benetton,5,1108639-2783965-5897303,02-05-2019 01:37:28 am,Online,,Myntra,226022,,Proleague,cs8tztb7,5621,0,1199,0,5475,0,0,,347,0,0,0,0,0,1,360,,0,1,0,0,0,,0,493,1,707,0,0,0
Apparel & Accessories,Lucknow,Thursday,,22981,updates@myntra.com,french connection,5,1108639-2783965-5897303,02-05-2019 01:37:28 am,Online,,Myntra,226022,,Elixirnet,cs8tztb7,5621,0,2299,0,5475,0,0,,347,0,0,0,0,0,1,920,,0,1,0,0,0,,0,493,1,1267,0,0,0
Apparel & Accessories,Alwar,Friday,,299998,updates@myntra.com,roadster,5,1108762-5255759-8790603,03-05-2019 11:52:01 am,Online,,Myntra,301019,,WandWagon,csdnryj7,103,0,1899,0,99,0,0,,0,0,0,0,0,0,1,1849.5,,0,1,0,0,0,,0,4,11,1849.5,0,0,0
Apparel & Accessories,Alwar,Friday,,299998,updates@myntra.com,mast,5,1108762-5255759-8790603,03-05-2019 11:52:01 am,Online,,Myntra,301019,,Elixirnet,csdnryj7,103,0,1899,0,99,0,0,,0,0,0,0,0,0,1,1849.5,,0,1,0,0,0,,0,4,11,1849.5,0,0,0
